url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/PYTHON-PROGRAMMING-BEGINNER-BECOME-PROGRAMMER-ebook/dp/B092DVXWRQ/ref=sr_1_276?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-276,PYTHON PROGRAMMING: A BEGINNER;S GUIDE TO BECOME A MASTER PYTHON PROGRAMMER,5.0,33,0.0,9.99,3.02,3.02,3.02
https://www.amazon.com/ABCs-Data-Science-Scientists-Professionals/dp/1734276304/ref=sr_1_62?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-62,"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)",5.0,22,0.0,0.0,0.0,9.99,0.0
https://www.amazon.com/Data-Science-Programming-Dummies-Computer/dp/1119626110/ref=sr_1_206?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-206,Data Science Programming All-in-One For Dummies,5.0,18,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Practical-Discrete-Mathematics-principles-algorithms/dp/1838983147/ref=sr_1_204?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-204,Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,5.0,10,0.0,31.56,0.0,59.99,0.0
https://www.amazon.com/Data-Science-Education-Using-R/dp/0367422255/ref=sr_1_44?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-44,Data Science in Education Using R,5.0,9,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Python-Data-Analysis-collection-visualization/dp/1789955246/ref=sr_1_115?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-115,"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition",5.0,8,0.0,23.25,0.0,34.99,0.0
https://www.amazon.com/Fighting-Churn-Data-Carl-Gold/dp/161729652X/ref=sr_1_176?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-176,Fighting Churn with Data: The science and strategy of customer retention,5.0,7,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Applied-Data-Science-Using-PySpark/dp/1484264991/ref=sr_1_166?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-166,Applied Data Science Using PySpark: Learn the End-to-End Predictive Model-Building Cycle,5.0,7,0.0,36.97,0.0,34.71,0.0
https://www.amazon.com/Introduction-Biomedical-Data-Science-Robert/dp/179476173X/ref=sr_1_54?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-54,Introduction to Biomedical Data Science,5.0,6,0.0,0.0,0.0,64.95,0.0
https://www.amazon.com/Statistics-Health-Data-Science-Approach-ebook/dp/B08S3QNYCV/ref=sr_1_23?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-23,Statistics for Health Data Science: An Organic Approach (Springer Texts in Statistics),5.0,5,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Docker-Data-Science-Extensible-Infrastructure/dp/1484230116/ref=sr_1_284?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-284,Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,5.0,5,0.0,30.84,0.0,34.99,0.0
https://www.amazon.com/Fundamentals-Data-Science-Learning-Machine-ebook/dp/B081TDVR46/ref=sr_1_197?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-197,"The Fundamentals of Data Science: Big Data, Deep Learning, and Machine Learning: What you need to know about data science and why it matters",5.0,5,0.0,19.97,3.02,3.02,3.02
https://www.amazon.com/Cleaning-Data-Effective-Science-command-line/dp/1801071292/ref=sr_1_51?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-51,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools",5.0,4,0.0,18.06,0.0,39.99,0.0
https://www.amazon.com/Python-Data-Science-Essentials-practitioners-ebook/dp/B07H5KBDVL/ref=sr_1_266?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-266,"Python Data Science Essentials: A practitioner’s guide covering essential data science principles, tools, and techniques, 3rd Edition",5.0,4,0.0,44.99,31.76,31.76,31.76
https://www.amazon.com/Applied-Data-Science-Workshop-applications/dp/1800202504/ref=sr_1_12?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-12,"The Applied Data Science Workshop: Get started with the applications of data science and techniques to explore and assess data effectively, 2nd Edition",5.0,3,0.0,16.39,0.0,34.99,0.0
https://www.amazon.com/Smarter-Data-Science-Succeeding-Enterprise-Grade/dp/1119693411/ref=sr_1_143?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-143,Smarter Data Science: Succeeding with Enterprise-Grade Data and AI Projects,5.0,3,0.0,41.94,0.0,0.0,0.0
https://www.amazon.com/Statistical-Machine-Learning-Unified-Framework/dp/1138484695/ref=sr_1_236?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-236,Statistical Machine Learning: A Unified Framework (Chapman & Hall/CRC Texts in Statistical Science),5.0,3,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Predictive-Analytics-Machine-Learning-Practitioners/dp/0136738516/ref=sr_1_291?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021286&sr=8-291,"Predictive Analytics: Data Mining, Machine Learning and Data Science for Practitioners (FT Press Analytics)",5.0,3,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Hands-Data-Science-Command-Line/dp/1789132983/ref=sr_1_201?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-201,Hands-On Data Science with the Command Line: Automate everyday data science tasks using command-line tools,5.0,3,0.0,18.17,0.0,0.0,0.0
