"url","title","stars","reviewers","cost","cost_2","cost_3","kindle","kindle_2","kindle_3"
"https://www.amazon.com.mx/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-1","
Data Science from Scratch: First Principles with Python
","4.5 de 5 estrellas","395 calificaciones","$784.87","
$490.00
",null,null,"
$784.87
",null
"https://www.amazon.com.mx/DATA-SCIENCE-ELECTORAL-CARLOS-MERLO-ebook/dp/B093239B61/ref=sr_1_36?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-36","
DATA SCIENCE ELECTORAL
",null,null,null,null,"
$600.00
","
$600.00
",null,"
$600.00
"
"https://www.amazon.com.mx/Data-Science-Finance-Irene-Aldridge/dp/111960298X/ref=sr_1_34?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-34","
Big Data Science in Finance
","1.0 de 5 estrellas","1 calificación","$1,499.80","
$1,820.00
",null,null,"
$1,499.80
",null
"https://www.amazon.com.mx/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098/ref=sr_1_33?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-33","
Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control
","4.7 de 5 estrellas","120 calificaciones","$1,229.60","
$942.00
",null,null,"
$1,229.60
",null
"https://www.amazon.com.mx/Everybody-Lies-Internet-about-Really/dp/0062390856/ref=sr_1_35?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-35","
Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us about Who We Really Are
","4.5 de 5 estrellas","1,457 calificaciones","$344.80","
$189.00
",null,null,"
$344.80
",null
"https://www.amazon.com.mx/Data-Science-Cyber-Security-Niall-Adams/dp/1786345633/ref=sr_1_32?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-32","
Data Science for Cyber-Security: 3
","2.0 de 5 estrellas","1 calificación","$2,285.18","
$1,522.77
",null,null,"
$2,285.18
",null
"https://www.amazon.com.mx/Data-Science-Dummies-Lillian-Pierson/dp/1119327636/ref=sr_1_31?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-31","
Data Science for Dummies
","4.4 de 5 estrellas","131 calificaciones","$590.69","
$379.00
",null,null,"
$590.69
",null
"https://www.amazon.com.mx/Data-Science-Scratch-Everything-Applications/dp/3903331554/ref=sr_1_30?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-30","
Data Science From Scratch: The #1 Data Science Guide For Everything A Data Scientist Needs To Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, And Decision Trees
","3.5 de 5 estrellas","26 calificaciones","$539.80","
$55.58
",null,null,"
$539.80
",null
"https://www.amazon.com.mx/Build-Career-Science-Jacqueline-Nolis/dp/1617296244/ref=sr_1_29?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-29","
Build a Career in Data Science
","4.8 de 5 estrellas","34 calificaciones","$759.80",null,null,null,"
$759.80
",null
"https://www.amazon.com.mx/Python-Data-Analysis-Step-Step/dp/1914167023/ref=sr_1_28?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-28","
Python for Data Analysis: A Step-By-Step Guide to Master the Basics of Data Science and Analysis in Python Using Numpy, Pandas and Ipython: 2
","3.9 de 5 estrellas","27 calificaciones","$254.20","
$179.60
",null,null,"
$254.20
",null
"https://www.amazon.com.mx/dp/B0933FMJK2/ref=sr_1_27?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-27","
Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud (English Edition)
",null,null,null,null,"
$481.57
","
$481.57
","
$481.57
","
$481.57
"
"https://www.amazon.com.mx/Model-Thinker-What-Need-Know/dp/0465094627/ref=sr_1_26?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-26","
The Model Thinker: What You Need to Know to Make Data Work for You
","4.5 de 5 estrellas","269 calificaciones","$401.40","
$301.45
",null,null,"
$401.40
",null
"https://www.amazon.com.mx/Introduction-Data-Science-Prediction-Algorithms/dp/0367357984/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-25","
Introduction to Data Science: Data Analysis and Prediction Algorithms with R
","4.7 de 5 estrellas","16 calificaciones","$1,999.00","
$1,599.20
",null,null,"
$1,999.00
",null
"https://www.amazon.com.mx/Data-Science-AWS-End-End-ebook/dp/B0921MXC9S/ref=sr_1_24?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-24","
Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines (English Edition)
","Previous page",null,null,null,"
$865.22
","
$865.22
","
$865.22
","
$865.22
"
"https://www.amazon.com.mx/Enterprise-Big-Data-Lake-Delivering/dp/1491931558/ref=sr_1_23?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-23","
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science
","4.2 de 5 estrellas","49 calificaciones","$829.80","
$883.97
",null,null,"
$829.80
",null
"https://www.amazon.com.mx/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-22","
Data Smart: Using Data Science to Transform Information Into Insight
","4.4 de 5 estrellas","281 calificaciones","$929.20","
$655.00
",null,null,"
$929.20
",null
"https://www.amazon.com.mx/Beginning-Data-Science-R-English-ebook/dp/B00QRSSCIG/ref=sr_1_21?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-21","
Beginning Data Science with R (English Edition)
",null,null,null,null,"
$1,820.96
","
$1,820.96
","
$1,820.96
","
$1,820.96
"
"https://www.amazon.com.mx/Hands-Data-Science-Marketing-Hwang/dp/1789346347/ref=sr_1_20?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-20","
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R
","4.4 de 5 estrellas","31 calificaciones","$905.18","
$637.00
",null,null,"
$905.18
",null
"https://www.amazon.com.mx/Machine-Learning-Science-Blueprints-Finance/dp/1492073059/ref=sr_1_19?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-19","
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python
","4.1 de 5 estrellas","8 calificaciones","$1,055.13","
$865.22
",null,null,"
$1,055.13
",null
"https://www.amazon.com.mx/dp/B0932W6YW8/ref=sr_1_16?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-16","
Space Sciences Data Processing (English Edition)
",null,null,null,null,"
$279.40
","
$279.40
","
$279.40
","
$279.40
"
"https://www.amazon.com.mx/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_15?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-15","
Naked Statistics: Stripping the Dread from the Data
","4.6 de 5 estrellas","1,510 calificaciones","$373.00","
$288.00
",null,null,"
$373.00
",null
"https://www.amazon.com.mx/Big-Data-MBA-Business-Strategies/dp/1119181119/ref=sr_1_14?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-14","
Big Data MBA: Driving Business Strategies with Data Science
","4.3 de 5 estrellas","29 calificaciones","$825.95","
$598.00
",null,null,"
$825.95
",null
