url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/PYTHON-PROGRAMMING-BEGINNER-BECOME-PROGRAMMER-ebook/dp/B092DVXWRQ/ref=sr_1_276?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-276,PYTHON PROGRAMMING: A BEGINNERS GUIDE TO BECOME A MASTER PYTHON PROGRAMMER,5,33,0,9.99,3.02,3.02,3.02
https://www.amazon.com/ABCs-Data-Science-Scientists-Professionals/dp/1734276304/ref=sr_1_62?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-62,"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)",5,22,0,0,0,9.99,0
https://www.amazon.com/Data-Science-Programming-Dummies-Computer/dp/1119626110/ref=sr_1_206?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-206,Data Science Programming All-in-One For Dummies,5,18,0,0,0,0,0
https://www.amazon.com/Practical-Discrete-Mathematics-principles-algorithms/dp/1838983147/ref=sr_1_204?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-204,Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,5,10,0,31.56,0,59.99,0
https://www.amazon.com/Feminism-Strong-Ideas-Catherine-DIgnazio/dp/0262044005/ref=sr_1_296?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021286&sr=8-296,Data Feminism (Strong Ideas),4.9,123,0,23.88,0,0,0
https://www.amazon.com/Common-Sense-Guide-Structures-Algorithms-Second/dp/1680507222/ref=sr_1_34?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-34,"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",4.9,89,0,0,0,0,0
https://www.amazon.com/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_13?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-13,A Hands-On Introduction to Data Science,4.9,31,0,0,0,0,0
https://www.amazon.com/Foundations-Data-Science-Avrim-Blum/dp/1108485065/ref=sr_1_17?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-17,Foundations of Data Science,4.9,22,0,0,0,0,0
https://www.amazon.com/Quantitative-Social-Science-Data-Introduction/dp/1526411504/ref=sr_1_173?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-173,Quantitative Social Science Data with R: An Introduction,4.9,11,0,0,0,0,0
https://www.amazon.com/Red-Data-Girl-Bryn-Apprill/dp/B01N908TDJ/ref=sr_1_53?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-53,Red Data Girl: The Complete Series - S.A.V.E. (Super Amazing Value Edition),4.8,932,0,0,0,24.98,0
