url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Data-Science-Programming-All-Dummies/dp/1119626110/ref=sr_1_89?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-89,Data Science Programming All-In-One for Dummies,5,18,517.2,664.8,0,0,517.2,0
https://www.amazon.com.mx/Feminism-Assistant-Professor-Visualization-Catherine/dp/0262044005/ref=sr_1_123?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-123,Data Feminism,4.9,106,605.18,477,0,0,605.18,0
https://www.amazon.com.mx/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_87?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-87,A Hands-On Introduction to Data Science,4.9,29,999.8,898.42,0,0,999.8,0
https://www.amazon.com.mx/Date-Live-Vol-Light-Novel/dp/1975319915/ref=sr_1_257?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-257,"Date a Live, Vol. 1 (Light Novel): Dead-End Tohka",4.9,29,274.19,179.27,0,0,274.19,0
https://www.amazon.com.mx/Interactive-Web-Based-Visualization-Plotly-Shiny/dp/1138331457/ref=sr_1_264?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-264,"Interactive Web-Based Data Visualization with R, Plotly, and Shiny",4.9,11,499,279.2,0,0,499,0
https://www.amazon.com.mx/Probability-Statistics-Science-Machine-Learning-ebook/dp/B08L2V4GBG/ref=sr_1_125?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-125,Probability and Statistics for Data Science & Machine Learning (English Edition),4.9,10,0,0,149.99,149.99,149.99,149.99
https://www.amazon.com.mx/Statistics-Solving-Problems-Using-Real-World/dp/1506388159/ref=sr_1_280?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-280,Statistics with R: Solving Problems Using Real-World Data,4.9,10,500,19,0,0,500,0
https://www.amazon.com.mx/DAX-Patterns-Second-Marco-Russo/dp/1735365203/ref=sr_1_305?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-305,DAX Patterns: Second Edition,4.8,150,822.41,596.91,0,0,822.41,0
https://www.amazon.com.mx/Data-Science-Design-Manual/dp/3319554433/ref=sr_1_251?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-251,The Data Science Design Manual,4.8,37,98.79,145.42,0,0,98.79,0
https://www.amazon.com.mx/Build-Career-Science-Jacqueline-Nolis/dp/1617296244/ref=sr_1_29?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-29,Build a Career in Data Science,4.8,34,759.8,0,0,0,759.8,0
https://www.amazon.com.mx/Python-Data-Science-Step-Step-ebook/dp/B08WYF4SFF/ref=sr_1_108?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-108,Python for Data Science: The Ultimate Step-by-Step Guide to Python Programming. Discover How to Master Big Data Analysis and Understand Machine Learning (English Edition),4.8,20,0,0,149.99,149.99,0,149.99
https://www.amazon.com.mx/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_11?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-11,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",4.7,953,4.53,327,0,0,4.53,0
https://www.amazon.com.mx/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496/ref=sr_1_106?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-106,Storytelling with Data: Let's Practice!,4.7,336,647.48,582,0,0,647.48,0
https://www.amazon.com.mx/Structure-Interpretation-Computer-Programs-Abelson/dp/0262510871/ref=sr_1_234?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-234,Structure and Interpretation of Computer Programs,4.7,320,132.07,0,0,0,132.07,0
https://www.amazon.com.mx/Database-Internals-Deep-Distributed-Systems/dp/1492040347/ref=sr_1_198?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-198,Database Internals: A Deep Dive Into How Distributed Data Systems Work,4.7,197,701.8,490,0,0,701.8,0
https://www.amazon.com.mx/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-7,"Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud",4.7,156,508.57,0,0,0,508.57,0
https://www.amazon.com.mx/Data-Visualization-Introduction-Kieran-Healy/dp/0691181624/ref=sr_1_154?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-154,Data Visualization: A Practical Introduction,4.7,135,654.6,637.42,0,0,654.6,0
https://www.amazon.com.mx/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098/ref=sr_1_33?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-33,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",4.7,120,229.6,942,0,0,229.6,0
https://www.amazon.com.mx/Computer-Age-Statistical-Inference-Algorithms/dp/1107149894/ref=sr_1_99?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-99,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science: 5",4.7,50,374.23,820.57,0,0,374.23,0
https://www.amazon.com.mx/Categorical-Data-Analysis-Alan-Agresti/dp/0470463635/ref=sr_1_168?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-168,Categorical Data Analysis: 792,4.7,49,747.12,592.8,0,0,747.12,0
