url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Hands-Introduction-Data-Science/dp/1108472443/ref=sr_1_87?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-87,A Hands-On Introduction to Data Science,4.9,29,999.8,898.42,0,0,999.8,0
https://www.amazon.com.mx/Introduction-Data-Science-Prediction-Algorithms/dp/0367357984/ref=sr_1_25?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-25,Introduction to Data Science: Data Analysis and Prediction Algorithms with R,4.7,16,999,599.2,0,0,999,0
https://www.amazon.com.mx/Data-Science-Google-Cloud-Platform/dp/1491974567/ref=sr_1_95?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-95,Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning,4.3,44,960.8,748.7,0,0,960.8,0
https://www.amazon.com.mx/Measuring-Abundance-Estimation-Population-Richness/dp/1784272310/ref=sr_1_130?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-130,Measuring Abundance: Methods for the Estimation of Population Size and Species Richness,0,0,953.21,789.17,0,0,953.21,0
https://www.amazon.com.mx/Programming-Skills-Data-Science-Visualize/dp/0135133106/ref=sr_1_105?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-105,Data Science Foundations Tools and Techniques: Core Skills for Quantitative Analysis with R and Git,4.7,30,945.42,630.48,0,0,945.42,0
https://www.amazon.com.mx/Data-Mining-Business-Analytics-Applications/dp/1119549841/ref=sr_1_169?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-169,"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python",4.6,24,939,966,0,0,939,0
https://www.amazon.com.mx/Certified-Data-Analytics-Study-Guide/dp/1119649471/ref=sr_1_189?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-189,Aws Certified Data Analytics Study Guide: Specialty (Das-C01) Exam,4.1,16,929.8,996.8,0,0,929.8,0
https://www.amazon.com.mx/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-22,Data Smart: Using Data Science to Transform Information Into Insight,4.4,281,929.2,655,0,0,929.2,0
https://www.amazon.com.mx/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257/ref=sr_1_9?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-9,Storytelling with Data: A Data Visualization Guide for Business Professionals / Una guía de visualización de datos para profesionales de negocios,4.6,1,922.58,485,0,0,922.58,0
https://www.amazon.com.mx/Practical-Data-Science-SAP-Techniques/dp/1492046442/ref=sr_1_48?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-48,Practical Data Science with SAP: Machine Learning Techniques for Enterprise Data,4,2,915,883.42,0,0,915,0
https://www.amazon.com.mx/Hands-Unsupervised-Learning-Using-Python/dp/1492035645/ref=sr_1_180?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-180,Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,4.1,60,914,858.73,0,0,914,0
https://www.amazon.com.mx/Learning-JavaScript-Data-Structures-Algorithms/dp/1783554878/ref=sr_1_213?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-213,Learning JavaScript Data Structures and Algorithms,4.2,23,912.45,528.23,0,0,912.45,0
https://www.amazon.com.mx/Data-Science-Scale-Python-Dask/dp/1617295604/ref=sr_1_219?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-219,Data Science with Python and Dask,4.4,8,912.45,0,0,0,912.45,0
https://www.amazon.com.mx/Python-Data-Science-Essentials-Massaron/dp/178953786X/ref=sr_1_38?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-38,Python Data Science Essentials,5,4,905.18,645,0,0,905.18,0
https://www.amazon.com.mx/Hands-Data-Science-Marketing-Hwang/dp/1789346347/ref=sr_1_20?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-20,Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,4.4,31,905.18,637,0,0,905.18,0
https://www.amazon.com.mx/Interactive-Data-Visualization-Python-compelling/dp/1800200943/ref=sr_1_118?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-118,Interactive Data Visualization with Python - Second Edition: Present your data as an effective and compelling story,4.5,8,905.18,492.4,0,0,905.18,0
