url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Data-Science-Programming-All-Dummies/dp/1119626110/ref=sr_1_89?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-89,Data Science Programming All-In-One for Dummies,5.0,18,517.2,664.8,0.0,0.0,517.2,0.0
https://www.amazon.com.mx/Data-Science-Education-Using-R/dp/0367422255/ref=sr_1_184?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-184,Data Science in Education Using R,5.0,8,9.4,799.2,0.0,0.0,9.4,0.0
https://www.amazon.com.mx/Applied-Data-Science-Using-PySpark-ebook/dp/B08QZ5KPZN/ref=sr_1_226?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-226,Applied Data Science Using PySpark: Learn the End-to-End Predictive Model-Building Cycle (English Edition),5.0,5,0.0,0.0,738.27,738.27,738.27,738.27
https://www.amazon.com.mx/Network-Science-Python-NetworkX-Quick/dp/1789955319/ref=sr_1_153?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-153,Network Science with Python and NetworkX Quick Start Guide,5.0,5,0.0,440.0,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Python-Data-Science-Essentials-Massaron/dp/178953786X/ref=sr_1_38?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-38,Python Data Science Essentials,5.0,4,905.18,645.0,0.0,0.0,905.18,0.0
https://www.amazon.com.mx/Data-Science-Quick-Reference-Libraries/dp/1484248937/ref=sr_1_173?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-173,"R Data Science Quick Reference: A Pocket Guide to Apis, Libraries, and Packages",5.0,3,0.0,626.46,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Leading-AI-Analytics-Science-Business/dp/1260459144/ref=sr_1_295?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-295,Leading with AI and Analytics: Build Your Data Science IQ to Drive Business Value,5.0,3,461.74,477.0,0.0,0.0,461.74,0.0
https://www.amazon.com.mx/Model-Based-Clustering-Classification-Data-Science/dp/110849420X/ref=sr_1_245?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-245,Model-Based Clustering and Classification for Data Science: With Applications in R,5.0,3,599.8,444.51,0.0,0.0,599.8,0.0
https://www.amazon.com.mx/Predictive-Mining-Models-David-Olson/dp/9811396639/ref=sr_1_301?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-301,Predictive Data Mining Models,5.0,2,21.4,532.42,0.0,0.0,21.4,0.0
https://www.amazon.com.mx/Python-Programming-Advanced-Mastering-Object-Oriented/dp/170024132X/ref=sr_1_260?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-260,Python Programming Advanced: The Guide for Data Analysis and Data Science. Discover Machine Learning With the optimum Recipes for Mastering Python and Powerful Object-Oriented Programming,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0
