url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Analytics-Descriptive-Predictive-Network-Techniques/dp/1119133122/ref=sr_1_115?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-115,"Fraud Analytics Using Descriptive, Predictive, and Social Network Techniques: A Guide to Data Science for Fraud Detection",3.9,41,0.0,747.0,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Python-Data-Analysis-Step-Step/dp/1914167023/ref=sr_1_28?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-28,"Python for Data Analysis: A Step-By-Step Guide to Master the Basics of Data Science and Analysis in Python Using Numpy, Pandas and Ipython: 2",3.9,27,254.2,179.6,0.0,0.0,254.2,0.0
https://www.amazon.com.mx/Color-Science-Concepts-Quantitative-Formulae/dp/0471399183/ref=sr_1_186?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-186,"Color Science: Concepts and Methods, Quantitative Data and Formulae: 40",3.9,7,673.26,0.0,0.0,0.0,673.26,0.0
https://www.amazon.com.mx/Python-Data-Science-Step-Step-ebook/dp/B08G51MJ7R/ref=sr_1_190?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-190,"Python for Data Science: Master Data Analysis from Scratch, with Business Analytics Tools and Step-by-Step techniques for Beginners. The Future of Machine ... Artificial Intelligence (English Edition)",3.9,6,0.0,0.0,107.87,107.87,0.0,107.87
https://www.amazon.com.mx/Data-Science-Questions-Deliver-English-ebook/dp/B01N421L60/ref=sr_1_165?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-165,Data Science: Create Teams That Ask the Right Questions and Deliver Real Value (English Edition),3.9,6,0.0,0.0,852.4,852.4,852.4,852.4
https://www.amazon.com.mx/Law-Data-Computation-Future-Analysis/dp/1947864130/ref=sr_1_265?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-265,"Law as Data: Computation, Text, & the Future of Legal Analysis: 3",3.8,12,0.0,56.86,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Data-Science-Business-Warehousing-Visualization/dp/1647483263/ref=sr_1_215?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-215,"Data Science for Business: Predictive Modeling, Data Mining, Data Analytics, Data Warehousing, Data Visualization, Regression Analysis, Database Querying, and Machine Learning for Beginners",3.8,10,570.79,56.33,0.0,0.0,570.79,0.0
https://www.amazon.com.mx/Data-Science-Tricks-Theories-Effectively/dp/1913597253/ref=sr_1_63?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-63,Data Science: Tips and Tricks to Learn Data Science Theories Effectively: 2,3.8,8,262.0,0.0,0.0,0.0,262.0,0.0
https://www.amazon.com.mx/Panel-Data-Econometrics-Yves-Croissant/dp/1118949161/ref=sr_1_273?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-273,Panel Data Econometrics with R,3.8,6,831.18,529.0,0.0,0.0,831.18,0.0
https://www.amazon.com.mx/Python-Data-Analysis-Comprehensive-Analytics-ebook/dp/B08KF5LXFD/ref=sr_1_227?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-227,"Python Data Analysis: Comprehensive Guide to Data Science, Analytics and Metrics with Python (Data Science and Analysis Book 1) (English Edition)",3.8,3,0.0,0.0,63.61,63.61,63.61,63.61
https://www.amazon.com.mx/Math-Machine-Learning-Artificial-Intelligence/dp/172282381X/ref=sr_1_133?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-133,Math for Machine Learning: Open Doors to Data Science and Artificial Intelligence,3.7,28,387.82,0.0,0.0,0.0,387.82,0.0
https://www.amazon.com.mx/Big-Data-Science-Analytics-Hands/dp/0996025537/ref=sr_1_259?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-259,Big Data Science & Analytics: A Hands-On Approach,3.7,13,216.87,0.0,0.0,0.0,216.87,0.0
https://www.amazon.com.mx/Data-Science-Beginners-Comprehensive-Important-ebook/dp/B08SPDBDSS/ref=sr_1_302?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-302,Data Science for Beginners: Comprehensive Guide to Most Important Basics in Data Science (Data Science and Analysis) (English Edition),3.7,6,0.0,0.0,59.99,59.99,59.99,59.99
