,url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
231,https://www.amazon.com.mx/Botanicum-Welcome-Museum-Kathy-Willis/dp/0763689238/ref=sr_1_195?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366305&sr=8-195,Botanicum: Welcome to the Museum,4.9,744,700.94,155.17,,,700.94,
287,https://www.amazon.com.mx/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_67?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-67,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",4.8,893,837.68,327.00,837.68,,837.68,
146,https://www.amazon.com.mx/Hello-World-Dinosaurs-Jill-McDonald/dp/152471934X/ref=sr_1_285?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-285,"Hello, World! Dinosaurs",4.8,528,172.71,187.00,,,172.71,
144,https://www.amazon.com.mx/Science-Interstellar-Kip-Thorne/dp/0393351378/ref=sr_1_287?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-287,The Science of Interstellar,4.7,702,577.99,344.00,,,577.99,
19,https://www.amazon.com.mx/Data-Science-Transform-Visualize-English-ebook/dp/B01NAJAEN5/ref=sr_1_14?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-14,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data (English Edition)",4.7,588,,069.69,327.00,327.00,327.00,327.00
148,https://www.amazon.com.mx/National-Geographic-Decorator-Laminated-Inches/dp/0792283090/ref=sr_1_283?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-283,National Geographic: World Decorator Wall Map - Laminated (46 X 30.5 Inches): Laminated Decorator Line,4.7,516,,,,,,
258,https://www.amazon.com.mx/Science-Cooking-Question-Answered-Perfect/dp/1465463690/ref=sr_1_120?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366273&sr=8-120,The Science of Cooking: Every Question Answered to Perfect Your Cooking,4.7,422,549.00,,,,549.00,
67,https://www.amazon.com.mx/Invisible-Women-Data-World-Designed/dp/1419729071/ref=sr_1_77?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366257&sr=8-77,Invisible Women: Data Bias in a World Designed for Men,4.7,403,487.00,502.40,,,487.00,
47,https://www.amazon.com.mx/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0865391FUERQ8KGOS2M&url=%2FTaza-matem%25C3%25A1ticas-Caf%25C3%25A9-f%25C3%25B3rmulas-famosas%2Fdp%2FB00JVZZPUA%2Fref%3Dsr_1_49_sspa%3F__mk_es_MX%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Ddata%2Bscience%26qid%3D1602366257%26sr%3D8-49-spons%26psc%3D1&qualifier=1602366257&id=6394216641886938&widgetName=sp_btf,"Taza matemáticas - 340,19 G Café taza con fórmulas matemáticas famosas",4.7,299,,,320.62,,,
188,https://www.amazon.com.mx/You-Look-Like-Thing-Love/dp/0316525243/ref=sr_1_261?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1602366320&sr=8-261,You Look Like a Thing and I Love You: How Artificial Intelligence Works and Why It's Making the World a Weirder Place,4.7,214,464.00,186.35,,,464.00,
