url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Computer-Science-Distilled-Computational-Problems/dp/0997316020/ref=sr_1_86?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-86,Computer Science Distilled: Learn the Art of Solving Computational Problems,4.4,490,577.58,289.0,0.0,0.0,577.58,0.0
https://www.amazon.com.mx/Practical-Statistics-Data-Scientists-Essential/dp/1491952962/ref=sr_1_137?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-137,Practical Statistics for Data Scientists: 50 Essential Concepts,4.4,346,0.0,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Business-Analytics-Science-Data-Driven-Decision-ebook/dp/B075XLZY23/ref=sr_1_296?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-296,Business Analytics: The Science of Data - Driven Decision Making (English Edition),4.4,286,0.0,0.0,147.87,147.87,147.87,147.87
https://www.amazon.com.mx/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_22?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-22,Data Smart: Using Data Science to Transform Information Into Insight,4.4,281,929.2,655.0,0.0,0.0,929.2,0.0
https://www.amazon.com.mx/Data-Science-John-D-Kelleher/dp/0262535432/ref=sr_1_8?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-8,Data Science,4.4,231,338.19,249.0,0.0,0.0,338.19,0.0
https://www.amazon.com.mx/Guide-Data-Analytics-Basics-Managers/dp/1633694283/ref=sr_1_221?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-221,HBR Guide to Data Analytics Basics for Managers,4.4,212,302.0,318.0,0.0,0.0,302.0,0.0
https://www.amazon.com.mx/Pandas-Everyone-Python-Data-Analysis/dp/0134546938/ref=sr_1_228?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-228,Pandas for Everyone: Python Data Analysis,4.4,163,837.6,509.0,0.0,0.0,837.6,0.0
https://www.amazon.com.mx/Data-Science-Dummies-Lillian-Pierson/dp/1119327636/ref=sr_1_31?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-31,Data Science for Dummies,4.4,131,590.69,379.0,0.0,0.0,590.69,0.0
https://www.amazon.com.mx/Introduction-Scientific-Programming-SpringerBriefs-Computing-ebook/dp/B08C7GNS3N/ref=sr_1_44?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-44,Introduction to Scientific Programming with Python (Simula SpringerBriefs on Computing Book 6) (English Edition),4.4,83,0.0,606.4,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Business-Data-Science-Combining-Accelerate/dp/1260452778/ref=sr_1_5?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-5,"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",4.4,81,562.8,621.0,0.0,0.0,562.8,0.0
