url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Feminism-Assistant-Professor-Visualization-Catherine/dp/0262044005/ref=sr_1_123?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-123,Data Feminism,4.9,106,605.18,477.0,0.0,0.0,605.18,0.0
https://www.amazon.com.mx/DAX-Patterns-Second-Marco-Russo/dp/1735365203/ref=sr_1_305?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-305,DAX Patterns: Second Edition,4.8,150,822.41,596.91,0.0,0.0,822.41,0.0
https://www.amazon.com.mx/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_11?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-11,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",4.7,953,4.53,327.0,0.0,0.0,4.53,0.0
https://www.amazon.com.mx/Storytelling-Data-Cole-Nussbaumer-Knaflic/dp/1119621496/ref=sr_1_106?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-106,Storytelling with Data: Let's Practice!,4.7,336,647.48,582.0,0.0,0.0,647.48,0.0
https://www.amazon.com.mx/Structure-Interpretation-Computer-Programs-Abelson/dp/0262510871/ref=sr_1_234?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-234,Structure and Interpretation of Computer Programs,4.7,320,132.07,0.0,0.0,0.0,132.07,0.0
https://www.amazon.com.mx/Database-Internals-Deep-Distributed-Systems/dp/1492040347/ref=sr_1_198?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-198,Database Internals: A Deep Dive Into How Distributed Data Systems Work,4.7,197,701.8,490.0,0.0,0.0,701.8,0.0
https://www.amazon.com.mx/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_7?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-7,"Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud",4.7,156,508.57,0.0,0.0,0.0,508.57,0.0
https://www.amazon.com.mx/Data-Visualization-Introduction-Kieran-Healy/dp/0691181624/ref=sr_1_154?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-154,Data Visualization: A Practical Introduction,4.7,135,654.6,637.42,0.0,0.0,654.6,0.0
https://www.amazon.com.mx/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098/ref=sr_1_33?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-33,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",4.7,120,229.6,942.0,0.0,0.0,229.6,0.0
https://www.amazon.com.mx/Python-Data-Analysis-Wrangling-Ipython/dp/1491957662/ref=sr_1_12?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-12,"Python for Data Analysis: Data Wrangling with Pandas, Numpy, and Ipython",4.6,990,228.93,413.0,0.0,0.0,228.93,0.0
https://www.amazon.com.mx/Programming-Computations-Introduction-Simulations-Computational-ebook/dp/B078YGVNSF/ref=sr_1_59?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-59,Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with Python (Texts in Computational Science and Engineering Book 15) (English Edition),4.6,760,0.0,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Numsense-Data-Science-Layman-Added/dp/9811110689/ref=sr_1_116?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-116,Numsense! Data Science for the Layman: No Math Added,4.6,202,579.8,0.0,0.0,0.0,579.8,0.0
https://www.amazon.com.mx/Python-Finance-Mastering-Data-Driven/dp/1492024333/ref=sr_1_229?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-229,Python for Finance: Mastering Data-Driven Finance,4.6,176,222.9,865.22,0.0,0.0,222.9,0.0
https://www.amazon.com.mx/Learning-SQL-Generate-Manipulate-Retrieve/dp/1492057614/ref=sr_1_144?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-144,"Learning SQL: Generate, Manipulate, and Retrieve Data",4.6,101,657.6,737.79,0.0,0.0,657.6,0.0
https://www.amazon.com.mx/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_177?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-177,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and Mlops",4.6,78,763.65,725.36,0.0,0.0,763.65,0.0
https://www.amazon.com.mx/Learning-Tableau-2020-visualizations-organization/dp/1800200366/ref=sr_1_240?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-240,"Learning Tableau 2020 - Fourth Edition: Create effective data visualizations, build interactive visual analytics, and transform your organization",4.6,60,0.0,509.0,0.0,0.0,0.0,0.0
https://www.amazon.com.mx/Google-Bigquery-Definitive-Warehousing-Analytics/dp/1492044466/ref=sr_1_236?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-236,"Google Bigquery: The Definitive Guide: Data Warehousing, Analytics, and Machine Learning at Scale",4.6,53,829.8,748.7,0.0,0.0,829.8,0.0
https://www.amazon.com.mx/Graphics-Cookbook-Practical-Recipes-Visualizing/dp/1491978600/ref=sr_1_231?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-231,R Graphics Cookbook: Practical Recipes for Visualizing Data,4.6,51,144.4,385.88,0.0,0.0,144.4,0.0
https://www.amazon.com.mx/Book-Why-Science-Cause-Effect/dp/046509760X/ref=sr_1_303?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-303,The Book of Why: The New Science of Cause and Effect,4.5,894,467.21,139.0,0.0,0.0,467.21,0.0
https://www.amazon.com.mx/Elements-Statistical-Learning-Inference-Prediction/dp/0387848576/ref=sr_1_120?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-120,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition",4.5,667,74.6,455.42,0.0,0.0,74.6,0.0
https://www.amazon.com.mx/Data-Science-Business-Data-Analytic-Thinking-ebook/dp/B00E6EQ3X4/ref=sr_1_2?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-2,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking (English Edition),4.5,662,0.0,47.06,288.0,288.0,288.0,288.0
https://www.amazon.com.mx/Python-Data-Science-Handbook-Essential/dp/1491912057/ref=sr_1_4?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-4,Python Data Science Handbook: Essential Tools for Working with Data,4.5,408,34.4,327.0,0.0,0.0,34.4,0.0
https://www.amazon.com.mx/Data-Science-Scratch-Principles-Python/dp/1492041130/ref=sr_1_1?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-1,Data Science from Scratch: First Principles with Python,4.5,395,784.87,490.0,0.0,0.0,784.87,0.0
https://www.amazon.com.mx/Introduction-Machine-Learning-Python-Scientists/dp/1449369413/ref=sr_1_281?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-281,Introduction to Machine Learning with Python: A Guide for Data Scientists,4.5,340,238.72,384.0,0.0,0.0,238.72,0.0
